Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
34,5.081535319,5.33974503,5.242258049,4.562467033,5.318616849,4.509363084,4.065778631,4.882462349,3.842344339,4.126546499
36,4.892768733,5.031570895,4.918772362,4.370081365,4.937233731,4.240240453,3.98376296,4.711276333,3.755093131,4.042685884
38,4.780532472,4.921394631,4.785698578,4.338939653,4.904920781,4.30278984,3.79315606,4.436770679,3.638119678,3.763984182
40,4.646536155,4.803636746,4.643838439,4.189898087,4.659528739,4.05718158,3.68113539,4.3387897,3.632640223,3.763985424
42,4.49275535,4.587073771,4.500541068,3.984648189,4.462926557,4.010849377,3.57622758,4.221704649,3.483559591,3.654481834
44,4.354781566,4.564200733,4.243177335,4.012211473,4.435585284,3.919188216,3.461816202,4.145496216,3.451765651,3.543527795
46,4.309880696,4.358299374,4.216397063,3.825035601,4.168733549,3.898178699,3.462390148,4.077184167,3.356946642,3.469760278
48,4.179763437,4.313375326,4.079166515,3.632569715,4.29581284,3.785120833,3.292611842,3.877863091,3.360223149,3.476630462
50,4.015285443,4.166423372,4.04976415,3.708067248,4.184044944,3.670134202,3.250045887,3.937550752,3.246755783,3.414635586
52,3.954374179,4.083742678,3.914091114,3.692912635,4.066900714,3.701674965,3.266506807,3.758538747,3.143008962,3.308752312
54,3.951929176,4.067193715,3.789315653,3.557803945,3.868621341,3.709291993,3.135409796,3.77653467,3.099520562,3.249813623
56,3.839332861,3.967705064,3.704601956,3.54516278,3.837796975,3.613945375,3.237549766,3.715941295,3.224155542,3.190747737
58,3.760450225,3.877410321,3.649538731,3.438831606,3.721862153,3.617448133,3.139993061,3.579394103,3.042543729,3.203815949
60,3.790579309,3.885675397,3.646953289,3.342412821,3.607262508,3.492273499,3.106724737,3.561225312,3.09760846,3.156875081
62,3.694853053,3.847859574,3.737034547,3.367842127,3.533171541,3.534296138,2.952185127,3.692830737,2.960827818,3.022094078
64,3.707981458,3.821323482,3.480261399,3.3200653,3.514984747,3.513399511,2.976962012,3.746623406,3.023241909,3.123397317
66,3.63064482,3.732838391,3.56042781,3.455132583,3.515437998,3.389842941,2.964597937,3.528200763,2.938368736,2.957545468
68,3.591202397,3.785563777,3.581806199,3.274218038,3.564749704,3.59290915,2.761966407,3.666851751,3.037110184,3.005005507
70,3.532874779,3.63068131,3.460578534,3.279380748,3.445561328,3.465798487,2.874589229,3.429966847,2.934590324,3.043081232
72,3.486779239,3.522317755,3.467868807,3.348570812,3.478467158,3.436009702,2.947622106,3.439565046,2.907009804,2.87545823
74,3.533990618,3.680712854,3.305583817,3.213853637,3.429247431,3.42181843,2.862291891,3.30754299,2.95930136,2.864866744
76,3.479481578,3.523497376,3.27766566,3.214737507,3.388563358,3.37126622,2.859874688,3.46572986,2.88093097,2.923372647
78,3.445580197,3.502334058,3.237595236,3.231256495,3.372551816,3.502354709,2.860841471,3.454404852,2.97123933,3.057573042
80,3.452832552,3.465218612,3.411331909,3.26014164,3.406504395,3.317075943,2.937606735,3.425317928,2.833077896,2.939788586
82,3.455874696,3.507604271,3.302585708,3.148952974,3.424486519,3.373061945,2.930909441,3.41268555,2.959602365,3.005585345
84,3.46586015,3.615810906,3.291488421,3.296421152,3.39551618,3.352028645,2.802300224,3.389818749,2.917004442,2.896799288
86,3.373586389,3.439075797,3.371949347,3.217423702,3.423043347,3.370312754,2.889023667,3.485262244,2.891672632,2.967221912
88,3.342499583,3.413807876,3.191376022,3.159478541,3.352636116,3.30485159,2.752965734,3.426571661,2.854148254,2.815428123
90,3.441813536,3.455241808,3.248567596,3.176829073,3.358922804,3.304842443,2.80746821,3.5736371,2.85289129,2.967133368
92,3.436212606,3.445328918,3.296366133,3.140369271,3.288345138,3.318398986,2.770409705,3.541277284,2.889191038,2.938038764
94,3.452634401,3.502094464,3.242647995,3.151277819,3.269243782,3.423172293,2.800539387,3.372587027,2.770368376,2.936957548
96,3.409307578,3.438580572,3.229194542,3.313488548,3.307963302,3.385395259,2.846383062,3.404585735,2.8152356,2.892741545
98,3.32744818,3.371846729,3.229954351,3.176564352,3.306328806,3.39086526,2.838500926,3.456423982,2.786354964,2.837711678
100,3.336980687,3.389832086,3.244207607,3.271414868,3.318993392,3.317523896,2.773457111,3.435829091,2.781691543,2.812130287
102,3.396112788,3.367096718,3.213525062,3.173195859,3.303379776,3.330675242,2.810397098,3.310874042,2.788733961,2.848685764
104,3.32922973,3.389854703,3.263826437,3.139214362,3.253415347,3.411586834,2.820927372,3.43593552,2.780460873,2.878507844
106,3.193481561,3.395248196,3.196467761,3.144453318,3.16963588,3.401514174,2.824815499,3.384162728,2.79625012,2.839403921
108,3.359991095,3.343600534,3.238596916,3.174983921,3.295335385,3.361667148,2.834583273,3.500302667,2.786788266,2.829539136
110,3.335546982,3.406443358,3.253048065,3.132869964,3.266254749,3.276557905,2.709119897,3.39625294,2.815586179,2.932428903
112,3.359766597,3.404937257,3.209534231,3.155536861,3.331562053,3.35514102,2.736865415,3.472435507,2.94995621,2.928769196
